DOI,Country Code,Institutions
10.1103/PhysRevA.109.062603,"CN,SG","Northeast Normal Univ,Beijing Normal Univ,ASTAR"
10.1103/PhysRevA.94.032306,"DE,US","Univ Saarland,Univ Wisconsin"
10.1103/PhysRevX.13.041013,US,"Yale Univ,Princeton Univ"
10.1038/s41586-023-06927-3,US,"Harvard Univ,QuEra Comp Inc,Univ Maryland,MIT"
10.1364/JOSAB.36.001937,CN,"Zhengzhou Univ,Henan Univ Engn"
10.1209/0295-5075/113/40001,"DE,SG","Natl Univ Singapore,Max Planck Inst Sci Light,Univ Erlangen Nurnberg,Yale NUS Coll,CNRS UNS NUS NTU Int Joint Res Unit"
10.1103/PhysRevA.109.012615,US,"Univ New Mexico,Sandia Natl Labs"
10.1103/PhysRevLett.117.123201,"CN,US","Chinese Acad Sci,Univ Chinese Acad Sci,Univ Nevada"
10.1038/s42005-023-01174-4,"AT,IR","Austrian Acad Sci,Inst Res Fundamental Sci IPM,Univ Tehran,Univ Innsbruck,Par Quantum Comp GmbH"
10.1088/1361-6455/ab5f79,CN,Xidian Univ
10.1103/RevModPhys.82.2313,"DK,US","Univ Wisconsin,Univ Aarhus"
10.1364/OPTICA.513551,"DE,GB","Tech Univ Darmstadt,Max Planck Inst Quantum Opt"
10.1038/s41586-023-06481-y,US,"Harvard Univ,QuEra Comp Inc,MIT,AWS Ctr Quantum Comp"
10.1103/PRXQuantum.5.040343,US,"Sandia Natl Labs,Univ New Mexico"
10.1140/epjqt/s40507-024-00246-w,"CN,SG","Northeast Normal Univ,Beijing Normal Univ,ASTAR"
10.1103/PhysRevA.104.062428,US,"Raytheon BBN Technol,Univ Wisconsin Madison,ColdQuanta Inc"
10.1103/PhysRevApplied.22.034054,CN,"East China Normal Univ,Hong Kong Univ Sci & Technol Guangzhou,Hefei Natl Lab"
10.1038/s41586-022-04592-6,"AT,US","Harvard Univ,QuEra Comp Inc,Univ Innsbruck,Austrian Acad Sci,MIT,AWS Ctr Quantum Comp"
10.1038/ncomms13317,KR,Korea Adv Inst Sci & Technol
10.1007/s00340-022-07865-0,US,Univ Wisconsin
10.1109/TVLSI.2012.2227518,US,Princeton Univ
10.1103/PhysRevA.108.062426,"CN,US","Infleqtion Inc,Univ Wisconsin Madison,Univ Chinese Acad Sci"
10.1038/s41467-022-32094-6,US,"Yale Univ,Univ Wisconsin Madison,Princeton Univ"
10.1038/nature10225,FR,Univ Paris 06
10.1103/PhysRevApplied.18.034072,CN,"East China Normal Univ,Zhengzhou Univ,Shanghai Jiao Tong Univ,Shanghai Res Ctr Quantum Sci,Hefei Natl Lab,Shanxi Univ"
10.1088/2058-9565/ace0d5,CN,"Shanghai Jiao Tong Univ,East China Normal Univ,Hefei Natl Lab,Shanghai Res Ctr Quantum Sci,Shanxi Univ"
10.1103/PhysRevX.13.041034,US,Atom Comp Inc
10.1038/s41567-022-01517-y,"IL,US","Weizmann Inst Sci,Duke Univ"
10.1063/1.5080093,GB,Univ Oxford
10.1103/PRXQuantum.3.030314,"HR,DE","Max Planck Inst Quantum Opt,Munich Ctr Quantum Sci & Technol,Inst Phys,Ludwig Maximilians Univ Munchen,TOPT Photon"
10.1103/PhysRevA.83.023408,US,Calif Polytech State Univ San Luis Obispo
10.1103/PhysRevX.12.021049,US,"Harvard Univ,QuEra Comp Inc,AWS Ctr Quantum Comp"
10.1088/2058-9565/ac823a,GB,Univ Strathclyde
10.1103/PhysRevA.82.034307,CN,Fuzhou Univ
10.1103/PhysRevLett.106.133002,US,Georgia Inst Technol
10.1038/s41586-023-06360-6,US,Univ Colorado
10.1103/PRXQuantum.4.020335,"AT,US","Univ Innsbruck,Austrian Acad Sci,Harvard Univ"
10.1126/science.aax9743,"DE,IT,US","Harvard Univ,Gordon Coll,Univ Chicago,Harvard Smithsonian Ctr Astrophys,Univ Calif Berkeley,Forschungszentrum Julich,Univ Ulm,Univ Padua,Ist Nazl Fis Nucl,Univ Cologne,CALTECH,MIT"
10.1103/PhysRevLett.117.130503,US,Univ Wisconsin
10.1103/PhysRevA.91.012337,US,"Univ New Mexico,Sandia Natl Labs"
10.1103/PhysRevA.110.032619,CN,"Nanjing Univ Aeronaut & Astronaut,MIIT,Beijing Acad Quantum Informat Sci"
10.1103/PhysRevLett.129.203602,"DE,US","Univ Calif Berkeley,Max Planck Inst far Quantenopt,Munich Ctr Quantum Sci & Technol MCQST,Lawrence Berkeley Natl Lab"
10.1103/PhysRevA.107.042611,US,"Univ Wisconsin,Infleqtion Inc"
10.1103/PhysRevApplied.18.064035,FR,Pasqal
10.1103/PhysRevLett.128.033201,"AT,US","Princeton Univ,TU Wien"
10.1088/1367-2630/14/12/123034,DE,Tech Univ Darmstadt
10.1103/PhysRevA.107.042615,FR,"Pasqal,Sorbonne Univ,Univ Paris Saclay"
10.1038/s41567-024-02479-z,US,"Univ Chicago,Harvard Univ,CALTECH,Univ Arizona,QuEra Comp Inc"
