DOI,Addresses
10.1088/1367-2630/18/8/083030,"[Fallek, S. D.; Herold, C. D.; McMahon, B. J.; Maller, K. M.; Amini, J. M.] Georgia Tech Res Inst, Atlanta, GA 30332 USA; [Brown, K. R.] Georgia Inst Technol, Sch Phys, Atlanta, GA 30332 USA; [Brown, K. R.] Georgia Inst Technol, Sch Chem & Biochem, Atlanta, GA 30332 USA; [Brown, K. R.] Georgia Inst Technol, Sch Computat Sci & Engn, Atlanta, GA 30332 USA; [Amini, J. M.] Univ Maryland, Dept Phys, College Pk, MD 20742 USA"
10.1103/PhysRevLett.122.040404,"[Alonso, Jose Raul Gonzalez; Dressel, Justin] Chapman Univ, Schmid Coll Sci & Technol, Orange, CA 92866 USA; [Halpern, Nicole Yunger] CALTECH, Inst Quantum Informat, Pasadena, CA 91125 USA; [Dressel, Justin] Chapman Univ, Inst Quantum Studies, Orange, CA 92866 USA"
10.1007/s11433-012-4815-5,"[Deng HongGui; Zheng XiaoJuan] Cent South Univ, Sch Phys & Elect, Changsha 410083, Hunan, Peoples R China"
10.1103/PhysRevB.109.064505,"[Neukelmance, B.; Hue, B.; Legrand, W.; Jarjat, L.; Craquelin, J.; Delbecq, M. R.; Kontos, T.] Univ Paris Diderot, Sorbonne Univ, Univ PSL, Lab Phys,Ecole Normale Super,ENS,CNRS,Sorbonne Par, Paris, France; [Delbecq, M. R.; Kontos, T.] PSL Univ, Sorbonne Univ, CNRS, ESPCI Paris,Lab Phys & Etud Mat, Paris, France; [Delbecq, M. R.] Inst Univ France IUF, Paris, France"
10.1103/PhysRevB.85.075413,"[Jones, P. J.; Huhtamaki, J. A. M.; Tan, K. Y.; Mottonen, M.] Aalto Univ, Dept Appl Phys COMP, Aalto 00076, Finland; [Mottonen, M.] Aalto Univ, Low Temp Lab, Aalto 00076, Finland"
10.1103/PhysRevA.84.012314,"[Borrelli, Massimo; Maniscalco, Sabrina] Heriot Watt Univ, CM DTC, SUPA, EPS Sch Engn & Phys Sci, Edinburgh EH14 4AS, Midlothian, Scotland; [Mazzola, Laura; Maniscalco, Sabrina] Univ Turku, Turku Ctr Quantum Phys, Dept Phys & Astron, FI-20014 Turun, Finland; [Mazzola, Laura; Paternostro, Mauro] Queens Univ, Sch Math & Phys, Belfast BT7 1NN, Antrim, North Ireland"
10.1103/PhysRevApplied.6.044010,"[Bejanin, J. H.; McConkey, T. G.; Rinehart, J. R.; Earnest, C. T.; Mcrae, C. R. H.; Shiri, D.; Bateman, J. D.; Rohanizadegan, Y.; Mariantoni, M.] Univ Waterloo, Inst Quantum Comp, 200 Univ Ave West, Waterloo, ON N2L 3G1, Canada; [Bejanin, J. H.; Rinehart, J. R.; Earnest, C. T.; Mcrae, C. R. H.; Shiri, D.; Bateman, J. D.; Rohanizadegan, Y.; Mariantoni, M.] Univ Waterloo, Dept Phys & Astron, 200 Univ Ave West, Waterloo, ON N2L 3G1, Canada; [McConkey, T. G.] Univ Waterloo, Dept Elect & Comp Engn, 200 Univ Ave West, Waterloo, ON N2L 3G1, Canada; [Penava, B.; Breul, P.; Royak, S.] INGUN Prufmittelbau GmbH, Max Stromeyer Str 162, D-78467 Constance, Germany; [Zapatka, M.] INGUN USA Inc, 252 Latitude Lane,Suite 102, Lake Wylie, SC 29710 USA; [Fowler, A. G.] Google Inc, Santa Barbara, CA 93117 USA; [Shiri, D.] Chalmers Univ Technol, Dept Phys, SE-41296 Gothenburg, Sweden; [Bateman, J. D.] Univ Toronto, Edward S Rogers Sr Dept Elect & Comp Engn, 10 Kings Coll Rd, Toronto, ON M5S 3G4, Canada"
10.1103/PhysRevLett.110.263002,"[Tan, T. R.; Gaebler, J. P.; Bowler, R.; Lin, Y.; Jost, J. D.; Leibfried, D.; Wineland, D. J.] Natl Inst Stand & Technol, Boulder, CO 80305 USA"
10.22331/q-2023-04-06-970,"[Ciavarella, Anthony N.; Caspar, Stephan; Illa, Marc; Savage, Martin J.] Univ Washington, InQubator Quantum Simulat IQuS, Dept Phys, Seattle, WA 98195 USA"
10.1103/PRXQuantum.3.010344,"[Ramette, Joshua; Sinclair, Josiah; Vendeiro, Zachary; Rudelis, Alyssa; Vuletic, Vladan] MIT, Dept Phys, MIT Harvard Ctr Ultracold Atoms, Cambridge, MA 02139 USA; [Ramette, Joshua; Sinclair, Josiah; Vendeiro, Zachary; Rudelis, Alyssa; Vuletic, Vladan] MIT, Res Lab Elect, Cambridge, MA 02139 USA; [Cetina, Marko] Duke Univ, Duke Quantum Ctr, Durham, NC 27708 USA; [Cetina, Marko] Duke Univ, Dept Phys, Durham, NC 27708 USA"
10.1016/j.future.2021.12.015,"[Abdelmoiz Dahi, Zakaria] Univ Malaga, Fac ETSI Informat, Dept Lenguajes & Ciencias La Comp, Malaga, Spain; [Abdelmoiz Dahi, Zakaria] Univ Constantine 2, Fac NTIC, Dept Fundamental Comp Sci & Its Applicat, Constantine, Algeria; [Alba, Enrique] Univ Malaga, ITIS Software, Edificio Ada Byron, Malaga, Spain"
10.1063/1.4934867,"[Bronn, Nicholas T.; Hertzberg, Jared B.; Corcoles, Antonio D.; Gambetta, Jay M.; Chow, Jerry M.] IBM Corp, Thomas J Watson Res Ctr, Yorktown Hts, NY 10598 USA; [Liu, Yanbing; Houck, Andrew A.] Princeton Univ, Dept Elect Engn, Princeton, NJ 08544 USA"
10.1007/s00340-013-5541-z,"[Wu, Hao-Yu; Xie, Yi; Wan, Wei; Chen, Liang; Zhou, Fei; Feng, Mang] Chinese Acad Sci, Wuhan Inst Phys & Math, State Key Lab Magnet Resonance & Atom & Mol Phys, Wuhan 430071, Peoples R China; [Wu, Hao-Yu; Xie, Yi; Wan, Wei] Univ Chinese Acad Sci, Beijing 100049, Peoples R China"
10.1038/s41534-023-00737-1,"[Hogle, C. W.; Dominguez, D.; Leenheer, A.; McGuinness, H. J.; Ruzic, B. P.; Eichenfield, M.; Stick, D.] Sandia Natl Labs, Albuquerque, NM 87185 USA; [Dong, M.] MITRE Corp, 202 Burlington Rd, Bedford, MA 01730 USA; [Dong, M.] MIT, Res Lab Elect, Cambridge, MA 02139 USA; [Eichenfield, M.] Univ Arizona, Wyant Coll Opt Sci, Tucson, AZ 85721 USA"
10.1109/TASC.2011.2159974,"[Canturk, Mehmet] Turgut Ozal Univ, Dept Comp Engn, Fac Engn, TR-06010 Ankara, Turkey; [Askerzade, Iman N.] Ankara Univ, Dept Comp Engn, Fac Engn, TR-06100 Ankara, Turkey; [Askerzade, Iman N.] Azerbaijan Natl Acad Sci, Inst Phys, Baku 1143, Azerbaijan"
10.1088/1367-2630/18/5/053024,"[Lagoudakis, Konstantinos G.; McMahon, Peter L.; Fischer, Kevin A.; Mueller, Kai; Yamamoto, Yoshihisa; Vuckovic, Jelena] Stanford Univ, Edward L Ginzton Lab, Stanford, CA 94305 USA; [Puri, Shruti] Univ Sherbrooke, Dept Phys, Sherbrooke, PQ J1K 2R1, Canada; [Dalacu, Dan; Poole, Philip J.] Natl Res Council Canada, Ottawa, ON K1A 0R6, Canada; [Reimer, Michael E.] Univ Waterloo, Inst Quantum Comp, Waterloo, ON N2L 3G1, Canada; [Reimer, Michael E.] Univ Waterloo, Dept Elect & Comp Engn, Waterloo, ON N2L 3G1, Canada; [Zwiller, Val] KTH Royal Inst Technol, Quantum Nano Photon, SE-10044 Stockholm, Sweden; [Yamamoto, Yoshihisa] Natl Inst Informat, Chiyoda Ku, Hitotsubashi 2-1-2, Tokyo 1018403, Japan"
10.1103/PhysRevLett.117.220501,"[Weidt, S.; Randall, J.; Webster, S. C.; Lake, K.; Webb, A. E.; Navickas, T.; Lekitsch, B.; Hensinger, W. K.] Univ Sussex, Dept Phys & Astron, Brighton BN1 9QH, E Sussex, England; [Randall, J.] Imperial Coll London, Blackett Lab, QOLS, London SW7 2BW, England; [Cohen, I.; Retzker, A.] Hebrew Univ Jerusalem, Racah Inst Phys, IL-91904 Jerusalem, Givat Ram, Israel"
10.1109/JPHOT.2013.2252005,"[Nakamura, Y.] Univ Tokyo, RCAST, Tokyo 1538904, Japan; [Nakamura, Y.; Yamamoto, T.] RIKEN, Adv Sci Inst, Wako, Saitama 3510198, Japan; [Yamamoto, T.] NEC Corp Ltd, Smart Energy Res Labs, Ibaraki 3058501, Japan"
