DOI,Country Code
10.1016/j.physleta.2011.11.045,"CN,JP,US"
10.1093/ptep/ptt056,"EG,SA"
10.1103/PhysRevB.98.205403,"AU,CA,DK,SE"
10.1088/2058-9565/ac107f,"IN,US"
10.1016/j.aej.2023.10.035,"EG,IR,RU"
10.1103/PhysRevB.94.104516,"DE,US"
10.1007/s11128-012-0518-0,"CN,KR"
10.1103/PhysRevX.14.041049,"CA,US"
10.1103/PhysRevA.88.054301,"SG,SE"
10.1103/PhysRevB.96.174520,"DE,US"
10.1103/PhysRevLett.126.047701,"DK,NL,US"
10.1103/PhysRevLett.121.043603,"DE,HU,CH"
10.1103/PhysRevB.102.115422,"RU,GB"
10.1103/PhysRevLett.113.123601,"FR,DE"
10.1063/1.4896830,"DE,RU"
10.1103/PhysRevA.104.053711,"DE,ES"
10.1103/PhysRevA.98.012329,"FR,US"
10.1021/acs.nanolett.7b01602,"RU,GB"
10.1103/PhysRevLett.105.237001,"DE,NL,ES"
10.1103/PhysRevA.97.052321,"DE,RU,GB"
10.1103/PhysRevA.108.L060402,"FI,IT"
10.1038/srep16055,"ES,US,GB"
10.1038/s41598-022-21348-4,"EG,SA,US"
10.1103/PhysRevX.13.041022,"IL,US"
10.1038/srep00645,"FI,US"
10.1103/PhysRevB.93.024501,"FI,US"
10.1103/PhysRevA.97.032133,"FI,GB"
10.1103/PhysRevA.91.062307,"DE,IE,US"
10.1088/1367-2630/15/12/125027,"CN,JP"
10.1103/PhysRevApplied.19.024013,"CN,US"
10.1103/PhysRevB.85.094502,"JP,US,UA"
10.1103/PhysRevLett.114.010501,"US,GB"
10.1103/PhysRevLett.109.033602,"CA,ES"
10.1038/ncomms8111,"AU,CN"
10.1103/PhysRevA.89.022324,"AU,CA,FR"
10.1103/PhysRevB.89.115417,"JP,US"
10.1103/PhysRevB.98.024502,"DE,US"
10.1103/PhysRevLett.105.023601,"NL,ES"
10.1016/j.physe.2009.06.074,"DE,ES"
10.1103/PhysRevA.110.062620,"FI,IN,JP"
10.1103/PhysRevA.94.033850,"AT,ES"
10.1126/science.aab2179,"AR,FR"
10.1103/PhysRevB.86.100506,"TD,US"
10.1103/PhysRevLett.110.203602,"CH,GB"
10.1103/PhysRevA.96.032121,"ES,US"
10.1103/PhysRevLett.120.040505,"CA,US"
10.1103/PhysRevLett.113.063603,"DE,US"
10.1103/PhysRevA.90.062333,"CA,FR"
10.1038/s41567-020-0992-8,"AU,CA,US"
10.1103/PhysRevX.14.011007,"FR,US"
10.1103/PhysRevB.81.052505,"FR,US"
10.1103/PhysRevB.82.132501,"CN,US"
10.1016/j.rinp.2023.107236,"EG,US"
10.1038/s41567-024-02539-4,"US,GB"
10.1103/PhysRevLett.114.090403,"DK,US"
10.1209/0295-5075/110/40004,"CN,US"
10.1103/PhysRevB.109.174312,"DE,GB"
10.1038/NPHYS1885,"JP,US"
