DOI,atom,cavity,circuit,coherence,computation,control,couple,decoherence,detection,dynamic,entanglement,environment,error,excitation,experiment,fidelity,field,gate,information,interaction,ion,laser,level,measurement,mode,noise,number,parameter,phase,photon,process,pulse,quantum,quantum bit,quantum computing,quantum gate,quantum state,quantum system,qubit,scheme,source,spin,state,surface,transition,trap,trapped ion
10.1103/PhysRevA.83.062330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.39,0.0,0.0,0.0,0.0,6.09,0.0,0.0,0.0,1.03,0.0,1.21,0.0,4.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.06
10.1364/JOSAB.28.002865,4.14,1.69,0.0,0.0,0.0,0.0,0.0,0.0,4.14,0.0,1.25,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,5.62,1.52,0.0,1.83,0.0,0.0,0.0,0.0,0.0,3.65,0.0,0.0,0.0,0.0,0.0,2.07,1.9,0.0,0.06,0.0,0.0,0.0,0.0,2.07,0.0,8.25,0.12
10.1038/nature11573,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,0.0,6.24,0.0,0.0,0.0,0.0,0.0,1.03,0.0,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.96,1.76,0.0,0.0,3.52,0.0,0.0,0.0,0.0,0.0,1.29,0.0,7.35,0.0,0.0,1.69,0.0,0.06
10.1038/NPHYS2385,0.0,0.0,1.98,1.9,0.0,1.52,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,3.52,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,1.37,0.0,0.0,0.0,0.85,1.76,0.0,0.0,1.9,2.07,0.24,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.06
10.1038/NNANO.2012.126,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.0,0.0,0.0,1.21,0.0,8.83,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,2.56,1.76,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.41,0.0,0.0,8.25,0.06
10.1007/s11433-012-4815-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,2.58,0.0,0.0,3.24,0.0,0.0,0.0,0.06
10.1103/PhysRevA.85.032334,0.0,1.69,0.0,0.0,1.9,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0,0.0,1.9,2.07,0.0,0.0,0.0,0.0,2.56,0.0,0.0,0.0,1.9,0.0,0.12,3.86,0.0,0.0,1.22,0.0,0.0,0.0,0.12
10.1103/PhysRevB.85.241401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,0.0,2.66,0.0,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,2.75,0.0,0.0,4.14,0.85,0.0,1.98,2.07,0.0,0.0,0.06,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.06
10.1103/PhysRevA.85.040302,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,1.03,1.76,0.0,0.0,0.8,0.0,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,1.71,0.0,0.0,2.07,0.0,0.0,0.24,2.58,0.0,0.0,0.41,0.0,0.0,0.0,0.06
10.1103/PhysRevA.85.022511,2.07,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.06,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.06
