DOI,architecture,array,atom,body,chain,challenge,circuit,coherence,computation,computer,control,couple,detection,device,dynamic,efficiency,energy,entanglement,error,experiment,fault,fidelity,field,fluctuation,frequency,gate,hamiltonian,information,interaction,ion,laser,lattice,level,logic,magnitude,measurement,microwave,mode,motion,noise,number,order,parameter,phase,photon,platform,potential,power,probability,process,processor,protocol,pulse,quantum,quantum computer,quantum computing,quantum error correction,quantum gate,quantum simulation,quantum simulator,quantum state,quantum system,qubit,range,rate,realization,regime,resource,scale,scheme,simulation,source,spin,state,superconducting qubit,surface,technology,term,tool,transition,trap,trapped ion,way
10.1063/1.4966970,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0
10.1038/nature24654,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,7,5,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3,0,1,1
10.1103/PhysRevA.96.052316,0,0,4,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0
10.1103/PhysRevLett.119.040501,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10.1103/PhysRevB.95.144306,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,1,0
10.1103/RevModPhys.89.035002,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
10.1016/j.optcom.2017.04.011,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
10.1038/s41467-017-01895-5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,4,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0
10.1103/PhysRevA.95.022305,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,4,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10.1103/PhysRevX.7.031049,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,1
