DOI,atom,cavity,circuit,coherence,computation,control,couple,decoherence,detection,dynamic,entanglement,environment,error,excitation,experiment,fidelity,field,gate,information,interaction,ion,laser,level,measurement,mode,noise,number,parameter,phase,photon,process,pulse,quantum,quantum bit,quantum computing,quantum gate,quantum state,quantum system,qubit,scheme,source,spin,state,surface,transition,trap,trapped ion
10.1103/PhysRevA.89.012304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,0,0,0,1,0,2,0,0,5,0,0,0,0,0,0,4,0,0,0,1,0,1,1,2
10.1103/PhysRevA.89.032301,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8,0,0,0,1,0,0,0,0,0,0,5,0,0,2,0,0,0,1,0,0,8,0,0,0,0,0,0,0,1
10.1007/s11128-014-0787-x,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
10.1103/PhysRevA.90.022325,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,3,0,0,0,0,0,1,5,0,2,0,0,0,0,2,0,1,0,0,0,0,0,11,0,0,0,3,0,1,0,1
10.1038/srep04291,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,1
10.1103/PhysRevA.90.032319,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,12,0,0,0,0,1
10.1103/PhysRevLett.113.220501,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,2,1,0,1,0
10.1126/science.1253742,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,0,2,0,1,0,7,0,0,0,1,0,0,0,0
10.1103/PhysRevLett.112.190502,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,4,0,0,0,1,0,0,0,2
10.1103/PhysRevA.89.062312,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2
