DOI,gate,error,code,state,fidelity,ion,noise,measurement,spin,photon,interaction,entanglement,field,trap,quantum computer,circuit,phase,fault,control,algorithm,information,protocol,scheme,laser,frequency,dynamic,quantum computing,transition,mode,hardware,simulation,number,crosstalk,crystal,detection,optimization,device,architecture,quantum processor,platform,trapped ion,parameter,rate,scale,array,qudit,datum
10.1103/PhysRevA.102.012618,5.8,0.0,0.0,0.0,2.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.0,0.0,1.39,0.0,1.92,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.95,0.0,1.96,1.61,4.54,0.0,0.0
10.1038/s41534-020-00300-2,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevA.101.052333,0.0,0.0,0.0,1.24,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0,5.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,0.0,1.82,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevApplied.14.024021,0.0,0.0,0.0,0.0,0.0,0.36,10.68,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.44,0.0,0.0,1.69,0.0,0.0,1.63,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1073/pnas.2006373117,0.0,0.95,0.0,1.24,1.0,0.71,0.0,1.46,0.0,0.0,1.73,0.0,1.69,0.0,1.1,0.0,0.0,0.0,0.0,4.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.0,0.0,0.0,9.47,0.0,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevA.101.052332,5.8,0.95,0.0,1.24,1.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,3.25,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.48,1.88,0.0,1.61,0.0,0.0,0.0
10.1103/PhysRevA.101.052328,5.8,0.95,0.0,0.0,3.99,0.0,0.0,0.0,0.0,0.0,1.73,0.0,0.0,1.66,0.0,0.0,5.12,0.0,0.0,0.0,1.44,0.0,5.02,2.93,0.0,3.88,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.73,0.0,4.11,0.0,0.0,0.95,0.0,3.92,0.0,0.0,0.0,0.0
10.1063/5.0019892,0.0,0.0,0.0,1.86,1.0,0.36,0.0,0.0,0.0,9.38,0.0,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.37,1.46,1.63,0.0,0.0,6.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,1.88,1.96,0.0,0.0,0.0,0.0
10.1038/s41467-020-16790-9,0.64,0.0,0.0,0.62,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.48,0.0,0.0,0.0,3.22,0.0,0.0,10.14,0.0,0.0,0.0,0.0,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevLett.124.110501,0.64,0.0,0.0,0.0,3.99,0.71,0.0,0.0,0.0,5.63,0.0,6.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0
10.1364/OE.409667,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,5.63,0.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0,1.82,0.0,0.48,0.0,0.0,0.0,2.27,0.0,0.0
