DOI,gate,spin,entanglement,state,ion,noise,photon,atom,field,error,interaction,measurement,quantum computer,fidelity,scheme
10.1103/PhysRevA.97.013825,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevA.98.052334,0.72,0.0,1.27,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,6.31,0.0,0.0
10.1038/s41586-018-0668-z,1.44,0.0,1.27,2.31,3.62,0.0,1.8,0.0,0.0,2.54,0.0,3.08,0.0,0.0,0.0
10.1103/PhysRevX.8.031022,0.0,0.0,0.0,0.77,0.45,1.3,0.0,0.0,1.06,0.0,0.0,1.54,0.0,0.0,0.0
10.1038/s41467-018-04341-2,0.0,0.0,3.81,1.54,0.9,0.0,5.4,1.85,0.0,0.0,0.0,0.0,0.0,3.81,0.0
10.1103/PhysRevX.8.041027,0.0,2.86,0.0,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58,0.0,0.0
10.1007/s00340-018-6955-4,1.44,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1038/nature25737,8.62,0.0,1.27,0.77,2.71,0.0,0.0,0.0,0.0,3.81,0.0,0.0,1.58,2.54,0.0
10.1103/PhysRevA.97.052301,0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,3.17,2.54,0.0,0.0,0.0,0.0,0.0
10.1016/j.optcom.2018.04.044,0.0,0.0,3.81,0.77,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevLett.121.180502,5.75,0.0,1.27,0.0,1.36,2.6,0.0,0.0,0.0,2.54,0.0,0.0,1.58,3.81,0.0
10.1088/1361-6455/aad62b,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,2.54,0.0,1.54,1.58,0.0,0.0
10.1103/PhysRevA.97.052312,2.87,0.0,0.0,0.0,1.36,1.3,0.0,0.0,2.12,1.27,0.0,0.0,0.0,1.27,1.85
10.1364/OL.43.003136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.17,0.0,0.0,0.0,0.0,1.27,0.0
10.22331/q-2018-09-03-90,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevApplied.10.044012,0.72,0.0,0.0,0.0,0.45,1.3,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1088/1367-2630/aaf360,0.0,0.0,3.81,1.54,0.45,1.3,0.0,0.0,0.0,1.27,0.0,0.0,0.0,3.81,0.0
10.1103/PhysRevA.98.050301,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,5.08,0.0,3.08,1.58,0.0,0.0
10.1103/PhysRevLett.122.040404,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,0.0,0.0,1.85
10.1007/s11128-018-2134-0,0.72,0.0,0.0,0.0,0.9,1.3,0.0,0.0,0.0,1.27,2.48,0.0,0.0,0.0,5.55
10.1002/qute.201800067,2.15,2.86,1.27,0.77,0.0,0.0,0.0,9.26,0.0,1.27,0.0,0.0,0.0,2.54,0.0
10.1103/PhysRevA.99.022330,2.15,0.0,0.0,0.0,1.81,1.3,0.0,0.0,0.0,0.0,0.0,0.0,4.73,0.0,0.0
10.1002/qute.201800043,0.0,1.43,0.0,0.77,0.0,0.0,0.0,11.11,2.12,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevApplied.11.024010,1.44,0.0,0.0,0.0,1.81,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.0
10.1103/PhysRevE.99.042121,1.44,0.0,0.0,0.77,0.0,0.0,0.0,1.85,1.06,0.0,2.48,0.0,0.0,0.0,0.0
10.1088/2058-9565/aaef5e,0.0,0.0,0.0,0.77,0.9,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevLett.122.030501,0.72,5.71,0.0,0.77,0.45,0.0,0.0,0.0,0.0,0.0,3.72,0.0,0.0,1.27,0.0
10.1038/s41586-019-1427-5,4.31,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,1.27,0.0,0.0,6.31,0.0,0.0
10.1007/s11128-019-2492-2,2.87,1.43,0.0,3.08,0.9,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.0,0.0
10.1088/2058-9565/ab1a71,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1088/1367-2630/ab2a45,1.44,0.0,1.27,0.0,3.16,0.0,1.8,0.0,0.0,0.0,1.24,0.0,0.0,0.0,0.0
10.1038/s41534-019-0147-x,0.0,8.57,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0
10.1103/PhysRevA.99.052332,0.72,0.0,0.0,2.31,0.0,0.0,0.0,1.85,1.06,0.0,3.72,0.0,0.0,1.27,0.0
10.1103/PhysRevApplied.11.014064,0.0,2.86,0.0,0.0,0.0,10.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7
10.1103/PhysRevLett.122.050403,0.0,0.0,0.0,0.0,0.45,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevLett.123.260503,6.46,0.0,0.0,0.0,0.9,3.9,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevApplied.12.014038,0.72,0.0,0.0,0.77,1.36,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,5.08,0.0
10.1038/s41534-019-0218-z,2.87,0.0,0.0,1.54,2.26,0.0,0.0,0.0,0.0,0.0,1.24,0.0,0.0,5.08,0.0
10.1103/PhysRevLett.123.110503,0.72,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,5.08,0.0,1.54,0.0,0.0,0.0
10.1126/science.aaw9415,4.31,0.0,1.27,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15,1.27,0.0
10.1088/1367-2630/ab0be5,3.59,0.0,0.0,0.0,0.9,0.0,0.0,0.0,2.12,0.0,1.24,0.0,0.0,1.27,0.0
10.1038/s41467-019-13534-2,2.15,0.0,0.0,0.0,0.45,0.0,0.0,0.0,1.06,1.27,0.0,0.0,3.15,2.54,0.0
10.1103/PhysRevA.100.062307,0.0,0.0,0.0,0.77,1.36,3.9,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.0,1.85
10.1103/PhysRevA.100.042304,0.72,0.0,1.27,0.0,0.0,0.0,1.8,0.0,1.06,1.27,0.0,3.08,0.0,0.0,0.0
10.1088/1367-2630/ab2a7e,2.15,0.0,0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,1.24,0.0,1.58,0.0,0.0
10.1038/s41586-019-1428-4,5.75,0.0,0.0,0.77,1.81,0.0,0.0,0.0,1.06,0.0,0.0,0.0,1.58,0.0,3.7
10.1103/PhysRevA.99.023854,0.72,0.0,5.08,8.47,0.45,0.0,9.0,9.26,4.23,0.0,3.72,4.61,0.0,0.0,0.0
10.1088/2058-9565/aae0fe,0.72,0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevA.100.043417,1.44,2.86,0.0,0.0,2.26,0.0,0.0,0.0,0.0,0.0,7.44,0.0,0.0,0.0,0.0
10.1038/s41534-019-0186-3,0.0,0.0,8.89,0.77,2.26,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevA.99.052323,0.0,0.0,1.27,0.0,0.45,0.0,0.0,0.0,0.0,1.27,0.0,9.23,0.0,0.0,0.0
10.1126/science.aau4963,0.0,0.0,5.08,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,3.08,0.0,0.0,0.0
10.1103/PhysRevA.100.022332,4.31,0.0,0.0,0.0,1.81,0.0,0.0,0.0,0.0,1.27,2.48,0.0,3.15,2.54,0.0
10.1038/s41586-019-1177-4,0.0,0.0,0.0,1.54,0.45,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.0,0.0
