DOI,Institutions
10.1515/zpch-2016-0799,"Osaka City Univ,JSPS,Osaka Univ"
10.1038/s41534-016-0003-1,"Harvard Univ,Purdue Univ"
10.1002/adma.201906523,"Chinese Acad Sci,Univ Chinese Acad Sci,IST Austria,Xi An Jiao Tong Univ,Univ Basel,Univ Utah,Songshan Lake Mat Lab"
10.1038/ncomms9955,"Stanford Univ,Natl Inst Informat,Univ Glasgow,Yokohama Natl Univ,Hewlett Packard Labs,Heriot Watt Univ,Univ Wurzburg,Univ St Andrews"
10.1038/s41928-022-00727-9,"Delft Univ Technol,Intel Corp"
10.1103/PhysRevB.105.075313,"Chinese Acad Sci,Univ Chinese Acad Sci,Beijing Acad Quantum Informat Sci"
10.1103/PhysRevA.104.032407,"Delft Univ Technol,Forschungszentrum Julich"
10.22331/q-2017-05-11-11,"Univ Sherbrooke,Rigetti Quantum Comp,INRIA Paris,Canadian Inst Adv Res"
10.1038/s41467-024-45235-w,"Univ Basel,Lund Univ,Ecole Polytech Fed Lausanne,Univ Twente"
10.1103/PRXQuantum.5.020339,"Univ Rhode Isl,Univ Maryland,NIST,Univ Calif Los Angeles"
10.1038/s41467-022-31231-5,"Rhein Westfal TH Aachen,Forschungszentrum Julich,Natl Inst Mat Sci"
10.1038/nature11577,"Stanford Univ,Heriot Watt Univ,Natl Inst Informat,Univ Wurzburg"
10.1063/1.4934693,"Univ New S Wales,Univ Wisconsin"
10.1038/s41467-024-49182-4,"Forschungszentrum Julich GmbH,Rhein Westfal TH Aachen,ARQUE Syst GmbH"
10.1063/5.0137259,"Univ Sci & Technol China,Chinese Acad Sci,Beijing Superstring Acad Memory Technol,Origin Quantum Comp Co Ltd"
10.1103/PhysRevB.98.245424,"Lab Phys Sci,Delft Univ Technol,Univ New South Wales"
10.1103/PhysRevLett.118.147701,"Univ Basel,IBM Res Zurich"
10.1103/PhysRevB.92.115448,"Rhein Westfal TH Aachen,Forschungszentrum Julich"
10.1038/s41567-024-02694-8,"Delft Univ Technol,QuTech & Netherlands Org Appl Sci Res TNO"
10.1038/s41467-021-23437-w,"Univ New South Wales,Univ Sherbrooke,Keio Univ,Canadian Inst Adv Res,Quantum Mot Technol Ltd,Univ Sydney"
10.1103/PhysRevApplied.19.064038,"Purdue Univ,Northeast Normal Univ,Univ New South Wales"
