DOI,Institutions
10.1063/5.0177638,"Sandia Natl Labs,Univ New Mexico"
10.1103/PhysRevLett.126.250506,"Univ Sydney,Q CTRL Pty Ltd,Paul Scherrer Inst"
10.1126/science.aaw9415,"NIST,Univ Colorado,Univ Fed Ceara,Univ Oregon,Swiss Fed Inst Technol,Natl Univ Singapore,Ctr Quantum Technol"
10.1038/s41467-024-47882-5,"Sandia Natl Labs,Quantinuum LLC"
10.1103/PhysRevA.93.053823,"Univ Fed Sao Carlos,Univ Salerno,Ist Nazl Fis Nucl"
10.1103/PhysRevLett.129.063603,"Duke Univ,IonQ Inc"
10.1088/1361-6455/aad62b,"Univ Maryland,IonQ Inc"
10.1103/PhysRevA.110.032416,"Tufts Univ,Sandia Natl Labs,Univ New Mexico,Brookhaven Natl Lab"
10.1103/PhysRevApplied.16.024057,"Univ Maryland,Duke Univ,IBM TJ Watson Res Ctr"
10.1103/PhysRevLett.128.160503,"NIST,Univ Colorado"
10.1103/PhysRevA.107.032617,"Duke Univ,IonQ Inc,Univ Illinois"
10.1088/1367-2630/ab0be5,"Lawrence Livermore Natl Lab,Natl Inst Stand & Technol,Univ Colorado,Univ Oregon"
10.1103/PhysRevX.11.041058,"Quantinuum,Google Quantum AI"
10.1038/s42005-024-01691-w,"Univ Oxford,Abdus Salam Int Ctr Theoret Phys ICTP,Univ Trento,Univ Autonoma Madrid"
10.1103/PhysRevLett.110.173002,"NIST,Leibniz Univ Hannover,PTB"
10.1038/s41586-021-03928-y,"Univ Maryland,Duke Univ,Georgia Inst Technol,IonQ Inc,Google Res"
10.1103/PhysRevLett.131.020601,"Oxford Ion,Univ Oxford,Univ Oregon"
10.1103/PhysRevA.105.032618,"Harvard Univ,QuEra Comp Inc,MIT,AWS Ctr Quantum Comp,Google Switzerland GmbH"
10.1007/s40042-020-00050-6,"Seoul Natl Univ,ID Quant Ltd"
10.1103/PhysRevA.82.023409,"Univ Toulouse 3,Sohag Univ,Univ Bahrain,Visva Bharati"
10.1088/1367-2630/ab8046,"Georgia Tech Res Inst,Oak Ridge Natl Lab"
10.22331/q-2022-01-27-634,"IonQ,Univ Maryland"
10.1063/5.0145077,"Natl Inst Stand & Technol,Univ Colorado"
10.1103/PhysRevX.13.041052,"Quantinuum,Honeywell Aerosp"
10.1038/s41467-019-13534-2,"IonQ Inc,Univ Maryland,Duke Univ"
10.1103/PhysRevA.100.062307,"Univ Complutense,Univ Oxford,Swansea Univ,Univ Costa Rica"
10.1088/2058-9565/abf718,"IonQ Inc,Univ Maryland"
10.1103/PRXQuantum.1.020316,"Univ Innsbruck,Austrian Acad Sci"
10.1103/PhysRevA.107.052409,"Univ Complutense,Univ Calif Berkeley,Berkeley Ctr Quantum Informat & Computat,Univ Autonoma Madrid"
10.1088/2058-9565/ad6eb2,"Delft Univ Technol,Univ Massachusetts,Q Bird,Univ Innsbruck"
10.1038/s41467-020-17519-4,"Univ Maryland,Inst Nacl Astrofis Opt & Electr,Inst Math Sci,Homi Bhabha Natl Inst,US Army Res Lab"
10.1103/PhysRevA.110.062413,"Univ Maryland,Quantinuum"
10.1103/PhysRevA.101.042334,"Lawrence Livermore Natl Lab,NIST,Univ Colorado,Univ Oregon"
10.1103/PhysRevLett.126.250507,"NIST,Univ Colorado,Phys Tech Bundesanstalt,Univ Washington"
10.1103/PhysRevA.100.042304,"Univ Maryland,Montgomery Blair High Sch,Texas A&M Univ,IonQ Inc"
10.1103/PhysRevLett.124.010504,"Univ Innsbruck,Austrian Acad Sci"
10.1088/1367-2630/ab2a7e,"Austrian Acad Sci,Univ Innsbruck"
